Card Name,Card Link,Card ID,archive,Information through ATE,It can be taken to EREN,Danger type 3.,Danger type 2.,Hazard type,Hazard characterization,Keywords,2. FILTRATION,Information is ready,"Document, publication related to the case 2.",Information source name/affiliation,Primary source of information,"Document, publication related to the case",Action taken,Additional measures,2. FILTER Are risk management options known?,2. FILTER Severity,2. FILTER Measure,2. FILTER Proximity in time,2. FILTRATION Groundedness,Total score of SCREENING 2,1. FILTRATION,2. RESULT OF FILTERING,Result of FILTER 1,Pre-screening,It requires confidential case management,Event type,Regularity of revaluation,"Document, publication related to the case 3.",What driver affects it?,Driver effect,1. Justification of FILTERING,Date of event (appearance of risk).,Date of access to information,Description of action,What is the reason for the increased exposure/sensitivity?,Signal,Notifiable body,Rationale for pre-screening,DRIVERs 1,HAZARDcat 1,PRODUCT 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,SOME information,2. Justification of FILTERING,It must be indicated as a partner institution,Unnamed: 53
Potential risks of marine algae (seaweed),https://trello.com/c/5c517aade37472244a2c2c36,5c517aade37472244a2c2c36,0,In progress,,Virus,A naturally occurring toxic compound,Pollutant of environmental origin,"Iodine:    Health Risks: Thyroid dysfunction (hyperthyroidism or hypothyroidism).     Arsenic:    Health Risks: Skin lesions, cardiovascular diseases, neurotoxicity, and increased cancer risk.     Metal Contamination:    Health Risks: Neurological damage, kidney dysfunction, gastrointestinal issues, and cancer risk.     Norovirus:    Health Risks: Acute gastroenteritis (vomiting, diarrhea, abdominal pain, dehydration).     Toxin-Producing Microalgae:    Health Risks: Neurological and gastrointestinal issues, such as memory loss, paralysis, or death.     Radioactive Isotopes:    Health Risks: Increased cancer risk, particularly thyroid cancer, and radiation sickness.",#algae #foodsupplement #algaeconsumption #seaweed,III. PHASE,True,Media appearance,EFSA EREN meeting,From another foreign institution/organization,Publication,True,"Communication, Residential",3 (no),3,Not enough information,4,4,14.0,Known hazard and increased exposure,,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,,"Changed consumer habits, healthy lifestyle, feed production, fuel production.",True,"Diets recommending algae (weight loss, healthy lifestyle), feed, fertilizer People with thyroid disorders, people with liver damage",2009-01-10T11:00:00.000Z,2016-03-01T11:00:00.000Z,It is included in the preparation of dietary supplements containing plant active ingredients,"Diets recommending algae (weight loss, healthy lifestyle), feed, fertilizer People with thyroid disorders, people with liver damage",True,"ÉKI, ÉTBI, ELI",,,,,,,,,,,,
Emergency use of pesticides and other substances,https://trello.com/c/65cb647d33b636fb0e6ac292,65cb647d33b636fb0e6ac292,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Supplements,https://trello.com/c/65f00e979afe2216b7564ed4,65f00e979afe2216b7564ed4,0,,,,,,"Dietary supplemets are unregulated, easily mislabeled and can contain harmful ingredients, dietary supplements bought online can contain unclaimed ingredients which can cause adverse health effects",#dietary supplemet #mislabeling #adverse health effects #Somatomax #Ecdisten #growth hormon #Arize Herbal Dietary Supplement capsules #Sustain capsule #Schwinnng capsule #Nortadalafil #Tadalafil #erectile dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essential oils, nanoparticles for antimicrobiotic use",https://trello.com/c/621e2f8e13a33004c7c29892,621e2f8e13a33004c7c29892,0,Ready,,,Chemical hazard,Nanotechnology,"Health Risks of Nanomaterials in Food or FCM:  Toxicity: Risk of migration into food, causing toxicity.  Bioaccumulation: Potential long-term accumulation in the body.  Digestive Issues: Possible gut microbiota disruption and inflammation.  Uncertain Long-term Effects: Insufficient research on long-term impacts.  Health Risks of Essential Oils in Food or FCM:  Allergic Reactions: Can cause sensitivities or allergies.  Toxicity: High concentrations may be toxic if ingested.  Food Interactions: May alter food properties or safety.  Regulatory Concerns: Not all essential oils are approved for food use.",#essentialoil #plant #nano #packaging #antibiotic,,,,EMM,From the media,,,,,,,,,,A new danger,,More information is required,It will move on to PHASE I,It doesn't require,Economic and health,,,sustainability,True,nano and essential are not thoroughly studied materials regarding their health effects. these applications are still in research phase,,,,,,,nano and essential are not thoroughly studied materials regarding their health effects,,,,,,,,,,,
Gene engineering,https://trello.com/c/646c8f44ff6786976d1c7c96,646c8f44ff6786976d1c7c96,0,,,Genetic material,Plant protection product residue,Chemical hazard,New technology with gaps in regulation,#GMO #gene #engineering,,,,EMM,From the media,,,,,,,,,,A new danger,,More information is required,It will move on to PHASE I,It doesn't require,Economic and health,,,"sustainability, turning towards natural solutions",True,New technology with gaps in regulation,,,,,,,New technology with gaps in regulation,,,,,,,,,,,
Pesticides,https://trello.com/c/633bea39122c04038ccd839e,633bea39122c04038ccd839e,0,Ready,,,,,"Pesticides are genotoxic, carcinogenic compounds",#pesticides #summary,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil management and sustainability,https://trello.com/c/646c7ee32de021e058a11d64,646c7ee32de021e058a11d64,0,,,,,,"Chemical Exposure  Pesticides and Herbicides: Overuse of chemical fertilizers and pesticides can lead to residues on food products, posing health risks to consumers and farmworkers, including acute poisoning and long-term health issues such as cancer and endocrine disruption.  Nutrient Runoff: Excessive nutrient runoff from poorly managed soils can contaminate water supplies with nitrates and phosphates, leading to waterborne diseases and other health problems.  2. Foodborne Illness  Pathogen Contamination: Soil health affects the prevalence of pathogens like E. coli and Salmonella. Poor soil management can increase the risk of contamination, leading to foodborne illnesses when crops are consumed.  3. Respiratory Issues  Dust and Particulate Matter: Poor soil management practices can lead to increased soil erosion and airborne dust, which can cause respiratory problems for farmworkers and nearby communities.  4. Nutritional Deficiencies  Soil Degradation: Degraded soils often yield crops with lower nutritional value. This can contribute to deficiencies in essential vitamins and minerals in populations that rely heavily on those crops for their diets.  5. Ecosystem Health Impact  Biodiversity Loss: Unsustainable soil practices can lead to a decline in biodiversity, which can disrupt ecosystem services such as pollination and natural pest control, potentially leading to increased pesticide use and its associated health risks.  6. Climate Change Effects  Increased Food Insecurity: Climate change exacerbates food risk, leading to more unpredictable food supply and quality. Food insecurity can result in malnutrition and a host of related health issues.  7. Mental Health Concerns  Stress from Food Insecurity: Communities affected by soil mismanagement and the resulting food scarcity may experience increased anxiety and mental health issues related to food insecurity.",,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30T11:00:00.000Z,,,,,,,,,,,,,,,,,
Sustainability issues (mixed),https://trello.com/c/5d42db28dd7a4e3d3934bc27,5d42db28dd7a4e3d3934bc27,0,,,,,,"Insect Meat:     Allergies: Potential for allergic reactions, especially in those allergic to shellfish.  Contamination: Risk of microbial contamination if not properly processed.    Lab-Grown Insect Meat:    Safety and Regulation: Limited regulatory framework could lead to safety concerns.  Nutritional Profile: Need for thorough nutritional assessment.    Rice Protein:    Heavy Metals: Potential contamination with heavy metals like arsenic.  Digestibility: May not provide all essential amino acids.    Microgreens:    Contamination: Risk of microbial contamination due to growing conditions.  Pesticides: Possible pesticide residues if not organically grown.    Cellular Agriculture:    Safety Testing: Need for extensive safety testing and regulation.  Ethical Concerns: Public perception and acceptance issues.    Food Waste and Raw Meat Shelf-life:    Preservatives: Use of preservatives might pose health risks.  Spoilage: Extended shelf-life could lead to undetected spoilage.    Housefly Larvae as Poultry Feed:    Pathogens: Potential for pathogen transfer if larvae are contaminated.  Nutritional Variability: Consistency in nutritional content needs to be ensured.    Aquaponics and Hydroponics:    Microbial Risks: Potential for harmful microbial growth in water systems.  Chemical Use: Risk of chemical contamination from water treatments.    Bioactive Compounds from Food Waste:    Toxicity: Potential toxicity if not properly evaluated.  Regulatory Oversight: Need for regulation to ensure safety.",Insect Meat#Contamination#Lab-Grown Insect Meat#Nutritional Profile#Rice Protein#Heavy Metal#Microgreens#Pesticides#Cellular Agriculture#Food Waste#Housefly Larvae#Aquaponics and Hydroponics,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural preservatives, pesticide alternatives",https://trello.com/c/628f5e57b8fc0c623d443fc3,628f5e57b8fc0c623d443fc3,0,,,Additive,Plant protection product residue,Chemical hazard,"Though these alternative substances presumably pose less environmental and health concerns than their chemical counterparts due to their natural origin, their safety still needs to be assessed in each case and potential gaps in regulation need to be resolved. However, most of the applications are still in research phase.",#natural #preservative #pesticide,,,,EMM,From the media,,,,,,,,,,A new danger,,More information is required,It will move on to PHASE I,It doesn't require,Economic and health,,,turning towards more natural solutions,True,"Though these alternative substances presumably pose less environmental and health concerns than their chemical counterparts due to their natural origin, their safety still needs to be assessed in each case and potential gaps in regulation need to be resolved. However, most of the applications are still in research phase.",,,,,,,"Though these alternative substances presumably pose less environmental and health concerns than their chemical counterparts due to their natural origin, their safety still needs to be assessed in each case and potential gaps in regulation need to be resolved. However, most of the applications are still in research phase.",,,,,,,,,,,
Sustainable packaging,https://trello.com/c/6304a0ee7981bc152cc58242,6304a0ee7981bc152cc58242,0,Ready,,,,,"Pollution: Inadequate management of industrial growth can lead to air, water, and soil pollution, impacting human health.    Resource Depletion: Overuse of resources can lead to scarcity, affecting food and water security and leading to health issues.    Climate Change: Failing to address climate change can result in extreme weather events, affecting health through heatwaves, floods, and the spread of diseases.    Inequality: If sustainable development does not address social disparities, vulnerable populations may face health risks due to lack of access to healthcare and resources.    Biodiversity Loss: The reduction in biodiversity can affect ecosystem services that are vital for health, such as clean air and water.",#Environmental Protection#Economic Growth#Social Equity#Resource Efficiency#Climate Change#Renewable Energy#Biodiversity  Circular#Economy  Green#Technology#Carbon Footprint#Public Health#Conservation#Ecosystem Services#Sustainable Agriculture#Energy Efficiency#Waste Management#Water Security#Social Inclusion#Urban Planning#Resilience,,,,,,,True,,,,,,,,,,,,,,,,,,,,2022-09-20T10:00:00.000Z,,,,,,,,,,,,,,,,
Methods to stop AMR,https://trello.com/c/605072979165ba1bf1701e89,605072979165ba1bf1701e89,0,Ready,,,,Bacterium,"Toxicity: Some antimicrobial peptides can be toxic to human cells, leading to potential side effects.    Resistance Development: While less likely than with traditional antibiotics, there is still a risk that microbes could eventually develop resistance to peptides.    Allergic Reactions: Peptides might trigger immune responses or allergic reactions in some individuals.    Stability and Delivery: Peptides can be unstable in the body and may require specialized delivery systems to be effective, complicating treatment.    Cost and Production: Synthesizing peptides can be expensive, potentially limiting accessibility and widespread use.    Regulatory Challenges: New treatments face rigorous testing and approval processes, which can delay availability.",#AMR#antibiotic#phage therapy#antimicrobial peptide,,True,,,,,True,,,Not enough information,2,3,2,7.0,,,,1 is eliminated.,,Healthcare,,,,,,2021-03-02T11:00:00.000Z,2021-02-03T11:00:00.000Z,,,,,,,,,,,,,,,,
Acrylamide and process contaminants formed during heat treatment,https://trello.com/c/674da20d3f7586ae9cc3a070,674da20d3f7586ae9cc3a070,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK (Brexit) food related issues,https://trello.com/c/675801b196a43e909c073914,675801b196a43e909c073914,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spread of H5N1,https://trello.com/c/646c8c8ec6b283d855164690,646c8c8ec6b283d855164690,0,Ready,,,,Virus,Highly pathogenic avian influneza is a highly contagious and have zoonotic potential,#HPAI#Avianinfluenza#zoonosis,More information is required,True,,,From a professional journal,,True,Communication,1 (again),2,3,3,3,12.0,New hazard and significant exposure,More information is required,II. PHASE,,,Economic and health,3 months,,,,,,2023-08-08T10:00:00.000Z,ÁTE website communication,New strain of HPAI,,,,,,,,,,,,,,
Biomonitoring studies (pesticides/chemical contaminants),https://trello.com/c/68bfccaee3e239368a64055d,68bfccaee3e239368a64055d,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water sustainability,https://trello.com/c/68c91fee4746ce079db44f90,68c91fee4746ce079db44f90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major Gap in Public Safety From Contaminated Gloves Identified - “Don’t be cheap” Says Industry Veteran,https://trello.com/c/65604efc8094f56fc648be2e,65604efc8094f56fc648be2e,0,Ready,,,Chemical hazard,Microbiological hazard,Protective gloves used in the food industry doesn’t require to be tested for microbiological or chemical contamination which can cause various potential health issues,#glove contamination #potential health issue,,True,,EMM,From the media,Media appearance,True,,3 (no),Not enough information,3,4,3,13.0,New evidence for hazard characterization,III. PHASE,II. PHASE,,,Healthcare,,,,,,,2023-11-17T11:00:00.000Z,,,,,,,,,,,,,,,,
New Evidence That Ultra-Processed Foods May Increase Cancer Risk,https://trello.com/c/63f47bc37b8bf00bcec73895,63f47bc37b8bf00bcec73895,0,Ready,,,,Chemical hazard,ultra-processed food increase cancer risk,#ultra-processed food #cancer #addiction,,True,Publication,EMM,From the media,Media appearance,True,,3 (no),4,Not enough information,4,4,15.0,New evidence for hazard characterization,III. PHASE,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,3 months,,,,,,2023-02-14T11:00:00.000Z,,,,,,,,,,,,,,,,
"Grapevine Endophyte Endornavirus and Two New Endornaviruses Found Associated with Grapevines (Vitis vinifera L.) in Idaho, USA",https://trello.com/c/654de150b58890281d8d6010,654de150b58890281d8d6010,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosquito vector transmitted diseases (arboviruses),https://trello.com/c/6503fa3501a6aecaaaf795c6,6503fa3501a6aecaaaf795c6,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2023-09-08T10:00:00.000Z,,,,,,,,,,,,,,,,
Candida auris as an emerging nosocomial pathogen and its potential relationship with the food chain,https://trello.com/c/5cade2785ad31d4568f2bcc7,5cade2785ad31d4568f2bcc7,0,,,,Mushroom,Microbiological hazard,"Candida auris was first isolated in the external auditory canal of a Japanese man in 2009, and since then there have been several reports from countries including South Korea, India, South Africa, Kuwait, Colombia, Venezuela, Pakistan, the United Kingdom, and the United States. In most cases, hospital patients were affected several weeks after admission, in some cases more than 30 patients were affected. The fungus is resistant to commonly used fungicides and survives for a long time on people's skin and in the hospital environment, e.g. on a bedpost or chair. Patients infected with C. auris have approx. 60% died, but it is not known whether the deaths were due to the infection itself or the serious health conditions of the patients. There is no information about his relationship with a food chain. It is related to the global problem of antibiotic resistance.",#Candida auris #antibiotic #resistance,Eliminated 3. (observation),,,,From the media,Publication,,,1 (again),4,1,1,4,14.0,A new danger,,,It will move on to PHASE I,,,1 year,,,,,2009-01-01T11:00:00.000Z,2019-05-10T10:00:00.000Z,,,,,It has no food safety implications,,,,,,,,,,,
Japanese officials inspect 2 factories making health supplements linked to 5 deaths,https://trello.com/c/662766ceffd85d049c864f1e,662766ceffd85d049c864f1e,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2024-04-16T10:00:00.000Z,,,,,,,,,,,,,,,,
Toxoplasma in salad -results from a European multi-countries survey (OHEJP project TOXOSOURCES),https://trello.com/c/667149a89ec92796020e9f98,667149a89ec92796020e9f98,0,,,,,,,,,,,EREN,From another foreign institution/organization,,,,,,,,,,,,,,,,,,,,,,2024-05-23T10:00:00.000Z,,,,,,,,,,,,,,,,
"HPAI in cattle, cats and humans",https://trello.com/c/667155c394608c9af42d9d55,667155c394608c9af42d9d55,0,,,,,,,,,,,EREN,From another foreign institution/organization,,,,1 (again),2,2,3,3,11.0,,,,,,,,,,,,,2024-05-23T10:00:00.000Z,,,,,,,,,,,,,,,,
Methanogenesis inhibitors,https://trello.com/c/668d1c513e5f047b1919a32f,668d1c513e5f047b1919a32f,0,,,,,,,,,,,EREN,From another foreign institution/organization,,,,,,,,,,,,,,,,,,,,,,2024-05-23T10:00:00.000Z,,,,,,,,,,,,,,,,
Lead in cinnamon,https://trello.com/c/66cd7c00d922a0e86e7fc40b,66cd7c00d922a0e86e7fc40b,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2024-08-13T10:00:00.000Z,,,,,,,,,,,,,,,,
Performance of Artificial Diets for Zelus renardii (Hemiptera: Reduviidae) Rearing,https://trello.com/c/66e94346043b70b04d38c607,66e94346043b70b04d38c607,0,,,,,Biological hazard,"The insect itself (e.g., mortality, development, reproduction)  Human health (if there’s exposure risk from rearing systems or residues)  Environmental or food chain safety (if LABs are used in IPM and released into ecosystems)",Zelus renardii  Leafhopper Assassin Bug (LAB)  Artificial diets  Biocontrol  Xylella fastidiosa  Olive fruit fly  Live prey,,,,EMM,From a professional journal,,,,,2,3,3,2,,,,,,,Economic and health,,,,,,,2024-09-10T10:00:00.000Z,,,,,,4.2 Industrialisation of agriculture,1.2 Chemical,1.2 Compound feeds,,,,,,,,
Foodborne outbreaks caused by Yersinia spp.,https://trello.com/c/674305328ed18f73e4b12436,674305328ed18f73e4b12436,0,,,,,,,,,,,EREN,From another foreign institution/organization,,,,,,,,,,,,,,,,,,,,,,2024-10-28T11:00:00.000Z,,,,,,,,,More information needed,,,,,,,
EU Warns of Safety Concerns Regarding Lemon Yellow as a Feed Additive in Freshwater Fish Bait,https://trello.com/c/67580149648fac48b538b7f6,67580149648fac48b538b7f6,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2024-12-03T11:00:00.000Z,,,,,,,,,,,,,,,,
Fatty fried food toxins as triggering stimuli to immune system interplay in global autoimmune diseases,https://trello.com/c/678f5c697cf159cb5991e957,678f5c697cf159cb5991e957,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-01-14T11:00:00.000Z,,,,,,,,,,,,,,,,
Will the EU decrease the permitted levels of mercury in tuna?,https://trello.com/c/678f5e4b1bc345bd88275a37,678f5e4b1bc345bd88275a37,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-01-14T11:00:00.000Z,,,,,,,,,,,,,,,,
"The European Commission has presented its ""Vision for Agriculture and Food""",https://trello.com/c/67f4d9755a0e378c07bf1c01,67f4d9755a0e378c07bf1c01,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:00:00.000Z,,,,,,,,,,,,,,,,
Fact check: Are Europeans being forced to eat dangerous insects?,https://trello.com/c/67fcaa4a6ef9395041855b23,67fcaa4a6ef9395041855b23,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:00:00.000Z,,,,,,,,,,,,,,,,
EU monitors new substances in surface waters to assess their impact on health and the environment,https://trello.com/c/68074ba819a403e765353769,68074ba819a403e765353769,0,,,Pollutant of environmental origin,Plant protection product residue,Chemical hazard,"Persistence: Many (e.g., 6PPD-quinone) resist degradation → long-term accumulation.  Bioaccumulation: Lipophilic compounds (e.g., oxybenzone) magnify up food chains.",,,,,EMM,From the media,,,,,3,4,4,3,14.0,,,,,,,,,,,,,2025-04-15T10:00:00.000Z,,,,,,8.6 Environmental pollution,1.2.2.2 Toxins,2.4 Beverages,,1.2.3.1 Pesticide residues,2.2.1.4 Fish and fish products,,,,,
Maternal Diet Influences ADHD and Autism Risk,https://trello.com/c/68074bd180f77208bace8663,68074bd180f77208bace8663,0,To Do,,,,,,#adhd #autism #diet #processedfood,,,,EMM,From the media,Publication,,,,,,,,,,,,1 is eliminated.,,,,,,,,,2025-04-15T10:00:00.000Z,,,,,,,,,,,,,,,,
Europe prepares response to US tariffs,https://trello.com/c/68074bfd653533704ce4e6b1,68074bfd653533704ce4e6b1,0,,,,,Plant protection product residue,"EU plans to restrict imports of agricultural products grown with banned chemicals, mainly targeting U.S. goods and raising concerns over trade and consumer prices.",#EU #pesticides #regulations #tariffs #trade,,,,EMM,From the media,,,,,,,,,,,,,,It doesn't require,Economic and health,,,,,,,2025-04-15T10:00:00.000Z,,,True,,,"1.1 EU, USA, China, Russia political decisions and governance",,,,,,2.1 Globalisation of trade in food and feed,,,,
"Home cleaning, all the risks of antimicrobial disinfectants",https://trello.com/c/68074c221dd791455125de13,68074c221dd791455125de13,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN Europe wants to ban deltamethrin,https://trello.com/c/68074c5ee42c17e55a131986,68074c5ee42c17e55a131986,0,,,,,Plant protection product residue,"PAN Europe urged the EU to ban deltamethrin, citing new evidence of its neurotoxic effects and criticizing its overdue regulatory review.",#pesticides #delatmethrin #neurotoxicity #ban #EU,,,,EMM,From the media,,,,,,,,,,,,,,It doesn't require,Healthcare,,,,,,,2025-04-15T10:00:00.000Z,,,,,,,1.2.3.1 Pesticide residues,,,1.2.3.2 Residues of veterinary medicinal products,,,,,,
"Salmonella outbreak linked to alfalfa is ‘widespread,’ EU health and food safety authorities warn",https://trello.com/c/68074c7fa525d1b271a6f3c7,68074c7fa525d1b271a6f3c7,0,,,,Biological hazard,Bacterium,,#salmonella#sprouted#alfalfa#lucerne#zoonosis#outbreak,,,,EMM,From the media,Publication,,,,,,,,,,,,,,,,,,,,,2025-04-15T10:00:00.000Z,,,,,,2.1 Globalisation of trade in food and feed,1.3.2.2.17 Salmonella,2.1.10 Other food of plant origin,,,,7.2 Diversification and polarisation of diets and lifestyles,,,,
